Table with column headers in row 3,,,,,,
"2021 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2022",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,00190,Alabaster City School District,"33,897","6,611",622
AL,01,00005,Albertville City School District,"22,527","4,668","1,042"
AL,01,00030,Alexander City City School District,"16,964","2,772",765
AL,01,00060,Andalusia City School District,"8,840","1,485",436
AL,01,00090,Anniston City School District,"21,477","2,977","1,054"
AL,01,00100,Arab City School District,"8,515","1,510",256
AL,01,00120,Athens City School District,"26,397","4,149",545
AL,01,00180,Attalla City School District,"5,812",962,263
AL,01,00210,Auburn City School District,"77,497","10,732","1,173"
AL,01,00240,Autauga County School District,"59,095","10,444","1,607"
AL,01,00270,Baldwin County School District,"223,776","36,648","5,478"
AL,01,00300,Barbour County School District,"12,214","1,412",488
AL,01,00330,Bessemer City School District,"25,754","4,306","1,852"
AL,01,00360,Bibb County School District,"22,477","3,342",940
AL,01,00390,Birmingham City School District,"198,624","27,013","11,105"
AL,01,00420,Blount County School District,"52,114","9,099","1,420"
AL,01,00012,Boaz City School District,"10,161","1,950",467
AL,01,00450,Brewton City School District,"5,268",860,249
AL,01,00480,Bullock County School District,"10,320","1,622",690
AL,01,00510,Butler County School District,"18,884","3,189","1,073"
AL,01,00540,Calhoun County School District,"54,643","9,364","1,963"
AL,01,00600,Chambers County School District,"27,617","4,127","1,161"
AL,01,00630,Cherokee County School District,"24,996","3,555",882
AL,01,00188,Chickasaw City School District,"6,430","1,150",379
AL,01,00660,Chilton County School District,"45,274","8,016","1,621"
AL,01,00690,Choctaw County School District,"12,533","1,831",587
AL,01,00720,Clarke County School District,"17,688","2,779",808
AL,01,00750,Clay County School District,"14,190","2,172",576
AL,01,00780,Cleburne County School District,"14,859","2,552",525
AL,01,00810,Coffee County School District,"20,870","3,669",711
AL,01,00840,Colbert County School District,"22,589","3,351",677
AL,01,00870,Conecuh County School District,"11,328","1,668",555
AL,01,00900,Coosa County School District,"10,450","1,257",362
AL,01,00930,Covington County School District,"21,921","3,540",807
AL,01,00960,Crenshaw County School District,"13,083","2,287",621
AL,01,00990,Cullman City School District,"17,484","2,895",372
AL,01,01020,Cullman County School District,"71,982","12,000","2,017"
AL,01,01050,Dale County School District,"15,553","2,598",544
AL,01,01080,Daleville City School District,"10,703","1,640",380
AL,01,01110,Dallas County School District,"20,042","3,395","1,292"
AL,01,01140,DeKalb County School District,"56,893","10,335","2,447"
AL,01,01170,Decatur City School District,"58,064","9,722","1,732"
AL,01,01200,Demopolis City School District,"7,041","1,279",435
AL,01,01230,Dothan City School District,"71,233","11,594","3,258"
AL,01,01260,Elba City School District,"4,831",717,229
AL,01,01290,Elmore County School District,"81,665","13,511","2,128"
AL,01,01320,Enterprise City School District,"29,084","5,443","1,053"
AL,01,01350,Escambia County School District,"31,431","5,263","1,568"
AL,01,01380,Etowah County School District,"62,384","9,967","1,750"
AL,01,01410,Eufaula City School District,"12,750","2,411",788
AL,01,01440,Fairfield City School District,"9,898","1,709",678
AL,01,01470,Fayette County School District,"14,883","2,356",590
AL,01,01530,Florence City School District,"40,390","5,376","1,475"
AL,01,01560,Fort Payne City School District,"14,920","2,820",657
AL,01,00001,Fort Rucker School District,"4,482",846,34
AL,01,01590,Franklin County School District,"21,192","3,665",837
AL,01,01620,Gadsden City School District,"33,859","5,269","1,785"
AL,01,01640,Geneva City School District,"5,981",917,266
AL,01,01660,Geneva County School District,"20,720","3,479",913
AL,01,01680,Greene County School District,"7,629","1,214",595
AL,01,00202,Gulf Shores City School District,"15,518","1,874",284
AL,01,01690,Guntersville City School District,"8,607","1,351",275
AL,01,01710,Hale County School District,"14,754","2,546",807
AL,01,01720,Haleyville City School District,"8,338","1,366",352
AL,01,01730,Hartselle City School District,"14,712","2,749",265
AL,01,01740,Henry County School District,"17,456","2,709",621
AL,01,01760,Homewood City School District,"26,144","4,425",371
AL,01,00007,Hoover City School District,"91,562","15,886","1,265"
AL,01,01770,Houston County School District,"37,753","6,662","1,538"
AL,01,01800,Huntsville City School District,"218,862","30,996","5,106"
AL,01,01830,Jackson County School District,"37,140","5,810","1,510"
AL,01,01860,Jacksonville City School District,"14,327","1,685",364
AL,01,01890,Jasper City School District,"14,461","2,401",541
AL,01,01920,Jefferson County School District,"238,629","41,021","9,110"
AL,01,01950,Lamar County School District,"13,689","2,192",498
AL,01,01980,Lanett City School District,"6,924","1,165",493
AL,01,02010,Lauderdale County School District,"53,653","8,449","1,450"
AL,01,02040,Lawrence County School District,"33,090","5,470","1,179"
AL,01,02070,Lee County School District,"61,299","10,653","1,987"
AL,01,00011,Leeds City School District,"12,261","2,042",434
AL,01,02100,Limestone County School District,"64,873","10,153","1,347"
AL,01,02130,Linden City School District,"4,037",626,235
AL,01,02160,Lowndes County School District,"9,965","1,606",690
AL,01,02190,Macon County School District,"18,895","2,417",988
AL,01,00008,Madison City School District,"58,216","12,485",613
AL,01,02220,Madison County School District,"134,320","23,675","2,342"
AL,01,02250,Marengo County School District,"7,918","1,274",397
AL,01,02310,Marion County School District,"23,414","3,669",883
AL,01,00006,Marshall County School District,"49,555","8,887","1,955"
AL,01,00003,Maxwell AFB School District,"2,110",282,20
AL,01,02350,Midfield City School District,"5,158","1,056",455
AL,01,02370,Mobile County School District,"383,819","64,980","15,009"
AL,01,02400,Monroe County School District,"19,648","3,113","1,010"
AL,01,02430,Montgomery County School District,"215,948","36,398","11,826"
AL,01,02480,Morgan County School District,"50,952","8,777","1,172"
AL,01,02490,Mountain Brook City School District,"22,331","5,143",192
AL,01,02520,Muscle Shoals City School District,"16,345","2,865",407
AL,01,02550,Oneonta City School District,"6,927","1,079",179
AL,01,02580,Opelika City School District,"31,530","5,012","1,260"
AL,01,02610,Opp City School District,"6,763","1,161",367
AL,01,02635,Oxford City School District,"23,754","4,276",857
AL,01,02640,Ozark City School District,"16,468","2,702",686
AL,01,00194,Pelham City School District,"24,587","4,066",404
AL,01,02650,Pell City City School District,"28,785","4,583",863
AL,01,02670,Perry County School District,"8,355","1,256",603
AL,01,02700,Phenix City City School District,"38,681","7,095","2,288"
AL,01,02730,Pickens County School District,"18,801","2,655",760
AL,01,02760,Piedmont City School District,"6,383","1,066",329
AL,01,02790,Pike County School District,"15,274","2,498",752
AL,01,00195,Pike Road City School District,"9,376","2,116",186
AL,01,02820,Randolph County School District,"16,673","2,556",683
AL,01,02850,Roanoke City School District,"5,316",911,293
AL,01,02880,Russell County School District,"26,933","4,519","1,177"
AL,01,02910,Russellville City School District,"10,821","2,117",542
AL,01,00185,Saraland City School District,"16,103","3,014",367
AL,01,00189,Satsuma City School District,"6,721","1,153",109
AL,01,02940,Scottsboro City School District,"15,633","2,373",572
AL,01,02970,Selma City School District,"17,577","3,235","1,551"
AL,01,03000,Sheffield City School District,"9,447","1,441",452
AL,01,03030,Shelby County School District,"139,011","24,730","2,170"
AL,01,03062,St. Clair County School District,"60,235","10,413","1,547"
AL,01,03090,Sumter County School District,"12,164","1,700",797
AL,01,03120,Sylacauga City School District,"12,482","2,008",515
AL,01,03150,Talladega City School District,"15,740","2,483",846
AL,01,03180,Talladega County School District,"48,934","7,359","1,765"
AL,01,03210,Tallapoosa County School District,"22,429","3,271",796
AL,01,03240,Tallassee City School District,"9,269","1,515",370
AL,01,03270,Tarrant City School District,"6,061","1,223",561
AL,01,03300,Thomasville City School District,"5,072",810,204
AL,01,03330,Troy City School District,"17,717","2,118",558
AL,01,00013,Trussville City School District,"25,769","5,466",273
AL,01,03360,Tuscaloosa City School District,"98,821","12,034","2,756"
AL,01,03390,Tuscaloosa County School District,"128,186","23,109","3,510"
AL,01,03420,Tuscumbia City School District,"9,093","1,345",326
AL,01,03430,Vestavia Hills City School District,"38,764","7,934",300
AL,01,03450,Walker County School District,"50,357","8,240","2,114"
AL,01,03480,Washington County School District,"15,147","2,396",712
AL,01,03510,Wilcox County School District,"10,446","1,719",857
AL,01,03540,Winfield City School District,"6,644","1,030",190
AL,01,03580,Winston County School District,"15,767","2,315",575
AK,02,00050,Alaska Gateway School District,"2,290",453,99
AK,02,00010,Aleutian Region School District,482,27,5
AK,02,00007,Aleutians East Borough School District,"3,398",192,26
AK,02,00180,Anchorage School District,"288,121","49,862","5,237"
AK,02,00525,Annette Island School District,"1,555",288,62
AK,02,00020,Bering Strait School District,"6,233","1,709",438
AK,02,00030,Bristol Bay Borough School District,838,133,25
AK,02,00730,Chatham School District,"1,317",150,32
AK,02,00800,Chugach School District,496,76,13
AK,02,00070,Copper River School District,"2,501",487,75
AK,02,00060,Cordova City School District,"2,550",406,41
AK,02,00090,Craig City School District,"1,032",171,17
AK,02,00100,Delta/Greely School District,"4,808",902,106
AK,02,00770,Denali Borough School District,"1,593",209,14
AK,02,00120,Dillingham City School District,"2,210",438,65
AK,02,00600,Fairbanks North Star Borough School District,"95,593","15,871","1,379"
AK,02,00130,Galena City School District,466,119,27
AK,02,00270,Haines Borough School District,"2,071",276,46
AK,02,00300,Hoonah City School District,918,136,41
AK,02,00330,Hydaburg City School District,378,66,22
AK,02,00520,Iditarod Area School District,"1,084",237,82
AK,02,00210,Juneau Borough School District,"31,973","5,012",392
AK,02,00360,Kake City School District,541,112,24
AK,02,00005,Kashunamiut School District,950,264,130
AK,02,00390,Kenai Peninsula Borough School District,"59,767","9,895","1,272"
AK,02,00150,Ketchikan Gateway Borough School District,"13,754","2,177",254
AK,02,00450,Klawock City School District,717,123,23
AK,02,00480,Kodiak Island Borough School District,"12,787","2,277",175
AK,02,00760,Kuspuk School District,"1,421",330,83
AK,02,00485,Lake and Peninsula Borough School District,"1,416",282,79
AK,02,00001,Lower Kuskokwim School District,"15,531","3,880","1,016"
AK,02,00003,Lower Yukon School District,"6,812","1,999",793
AK,02,00510,Matanuska-Susitna Borough School District,"110,686","21,940","2,286"
AK,02,00540,Nenana City School District,353,76,17
AK,02,00570,Nome School District,"3,632",790,113
AK,02,00610,North Slope Borough School District,"10,972","2,267",299
AK,02,00625,Northwest Arctic Borough School District,"7,560","2,004",503
AK,02,00630,Pelican City School District,97,12,2
AK,02,00660,Petersburg Borough School District,"3,356",551,51
AK,02,00670,Pribilof School District,464,85,8
AK,02,00240,Sitka School District,"8,407","1,281",118
AK,02,00690,Skagway School District,"1,132",129,10
AK,02,00700,Southeast Island School District,"1,506",190,41
AK,02,00710,Southwest Region School District,"2,562",647,251
AK,02,00680,St. Marys City School District,598,161,68
AK,02,00715,Tanana City School District,243,41,13
AK,02,00720,Unalaska City School District,"4,113",351,15
AK,02,00780,Valdez City School District,"3,895",673,47
AK,02,00810,Wrangell School District,"2,055",300,47
AK,02,00840,Yakutat School District,704,111,19
AK,02,00775,Yukon Flats School District,"1,200",243,49
AK,02,00862,Yukon-Koyukuk School District,"1,956",389,123
AK,02,00004,Yupiit School District,"1,579",445,143
AZ,04,00450,Agua Fria Union High School District,"164,853","9,391",871
AZ,04,00480,Aguila Elementary District,814,153,51
AZ,04,00520,Ajo Unified District,"3,064",339,124
AZ,04,00600,Alhambra Elementary District,"97,690","14,488","4,362"
AZ,04,00630,Alpine Elementary District,680,72,16
AZ,04,04770,Altar Valley Elementary District,"6,708","1,058",355
AZ,04,00680,Amphitheater Unified District,"148,262","19,112","3,345"
AZ,04,00720,Antelope Union High School District,"4,520",204,43
AZ,04,00750,Apache Elementary District,133,10,6
AZ,04,00790,Apache Junction Unified District,"63,952","6,627","1,084"
AZ,04,00840,Arlington Elementary District,"1,338",183,38
AZ,04,00870,Ash Creek Elementary District,591,37,11
AZ,04,00910,Ash Fork Joint Unified District,"2,037",251,81
AZ,04,00960,Avondale Elementary District,"56,664","8,501","1,346"
AZ,04,01000,Bagdad Unified School District,"2,247",502,32
AZ,04,01050,Balsz Elementary District,"33,493","3,780","1,128"
AZ,04,01080,Beaver Creek Elementary District,"5,350",770,159
AZ,04,00212,Benson Unified School District,"8,137","1,187",260
AZ,04,01160,Bicentennial Union High School District,"7,102",161,45
AZ,04,01180,Bisbee Unified District,"6,486",654,222
AZ,04,01230,Blue Elementary District,54,1,0
AZ,04,06580,Blue Ridge Unified District,"13,633","2,059",513
AZ,04,01260,Bonita Elementary District,897,46,8
AZ,04,01290,Bouse Elementary District,840,40,11
AZ,04,01330,Bowie Unified District,647,112,20
AZ,04,01380,Buckeye Elementary District,"54,165","7,990","1,129"
AZ,04,01410,Buckeye Union High School District,"99,950","5,882",598
AZ,04,01500,Bullhead City School District,"42,758","3,308","1,200"
AZ,04,01600,Camp Verde Unified District,"13,011","1,993",444
AZ,04,01650,Canon Elementary District,"2,829",298,85
AZ,04,01680,Cartwright Elementary District,"121,868","20,403","5,310"
AZ,04,01710,Casa Grande Elementary District,"69,349","8,962","1,528"
AZ,04,01740,Casa Grande Union High School District,"97,609","5,137",756
AZ,04,01760,Catalina Foothills Unified District,"31,873","4,109",278
AZ,04,00001,Cave Creek Unified District,"64,823","7,237",543
AZ,04,01810,Cedar Unified District,"6,821","1,346",521
AZ,04,01870,Chandler Unified District,"281,693","52,583","3,887"
AZ,04,01920,Chevelon Butte School District,578,27,5
AZ,04,01940,Chinle Unified District,"18,931","4,329","1,474"
AZ,04,00003,Chino Valley Unified District,"25,242","3,638",621
AZ,04,00004,Clarkdale-Jerome Elementary District,"4,235",348,61
AZ,04,02130,Cochise Elementary District,197,26,3
AZ,04,00021,Colorado City Unified District,"4,180","1,425",574
AZ,04,00082,Colorado River Union High School District,"69,420","2,706",718
AZ,04,02190,Concho Elementary District,"2,687",313,130
AZ,04,02220,Congress Elementary District,"2,212",141,26
AZ,04,02250,Continental Elementary District,"31,752","1,135",153
AZ,04,02320,Coolidge Unified District,"20,439","4,173",794
AZ,04,02370,Cottonwood-Oak Creek Elementary District,"31,770","2,873",524
AZ,04,02400,Crane Elementary District,"45,457","6,562","1,583"
AZ,04,02430,Creighton Elementary District,"66,162","7,587","1,786"
AZ,04,02460,Crown King Elementary District,90,2,1
AZ,04,07750,Deer Valley Unified District,"273,261","47,748","4,154"
AZ,04,02490,Double Adobe Elementary District,389,45,13
AZ,04,02530,Douglas Unified District,"20,386","4,237","1,623"
AZ,04,02600,Duncan Unified District,"2,539",454,82
AZ,04,02690,Dysart Unified District,"199,637","35,640","4,067"
AZ,04,02710,Eagle Elementary District,74,7,0
AZ,04,02760,Elfrida Elementary District,881,89,28
AZ,04,02790,Eloy Elementary District,"5,984",902,260
AZ,04,02820,Empire Elementary District,474,67,18
AZ,04,02860,Flagstaff Unified District,"100,565","14,018","1,641"
AZ,04,02920,Florence Unified School District,"111,453","19,279","2,115"
AZ,04,03010,Flowing Wells Unified District,"30,713","5,160","1,426"
AZ,04,03150,Fort Huachuca Accommodation District,"5,264",804,48
AZ,04,03200,Fort Thomas Unified District,"2,598",602,146
AZ,04,03040,Fountain Hills Unified District,"24,806","1,981",164
AZ,04,03060,Fowler Elementary District,"35,432","5,871","1,225"
AZ,04,03080,Fredonia-Moccasin Unified District,"2,718",455,157
AZ,04,03240,Gadsden Elementary District,"26,275","3,986","1,211"
AZ,04,03290,Ganado Unified District,"6,201","1,300",421
AZ,04,03310,Gila Bend Unified District,"2,341",567,218
AZ,04,03400,Gilbert Unified District,"215,029","43,498","2,830"
AZ,04,03420,Glendale Elementary District,"111,027","16,123","4,131"
AZ,04,03450,Glendale Union High School District,"362,762","20,499","3,774"
AZ,04,03500,Globe Unified District,"10,018","1,626",280
AZ,04,03550,Grand Canyon Unified District,"2,422",209,54
AZ,04,03660,Hackberry School District,"1,231",75,21
AZ,04,03730,Hayden-Winkelman Unified District,"1,050",170,58
AZ,04,00026,Heber-Overgaard Unified District,"4,377",485,167
AZ,04,03780,Higley Unified District,"91,988","20,540","1,109"
AZ,04,08460,Hillside Elementary District,91,17,1
AZ,04,03820,Holbrook Unified District,"9,845","1,985",648
AZ,04,03870,Humboldt Unified District,"63,314","8,946","1,339"
AZ,04,03900,Hyder Elementary District,346,36,11
AZ,04,03950,Indian Oasis-Baboquivari Unified District,"6,471","1,447",446
AZ,04,03960,Isaac Elementary District,"43,839","7,010","2,140"
AZ,04,03990,J. O. Combs Unified School District,"46,399","9,878",751
AZ,04,04010,Joseph City Unified District,"1,783",387,112
AZ,04,04060,Kayenta Unified District,"10,232","2,435",949
AZ,04,00295,Kingman Unified School District,"74,025","9,495","2,463"
AZ,04,04170,Kirkland Elementary District,"1,141",123,28
AZ,04,04200,Klondyke Elementary District,90,12,5
AZ,04,04230,Kyrene Elementary District,"162,780","17,388","1,422"
AZ,04,04280,Lake Havasu Unified District,"61,954","6,702","1,319"
AZ,04,04290,Laveen Elementary District,"56,155","8,922","1,497"
AZ,04,04320,Liberty Elementary District,"41,331","5,821",600
AZ,04,04380,Litchfield Elementary District,"108,189","14,093","1,235"
AZ,04,04410,Littlefield Unified District,"3,238",360,129
AZ,04,04440,Littleton Elementary District,"53,196","8,684","1,245"
AZ,04,04500,Madison Elementary District,"63,651","5,252",625
AZ,04,04530,Maine Consolidated School District,"1,459",186,43
AZ,04,04570,Mammoth-San Manuel Unified District,"4,708",753,170
AZ,04,04630,Marana Unified District,"105,106","18,088","1,946"
AZ,04,04720,Maricopa Unified School District,"64,954","12,707","1,390"
AZ,04,04820,Mayer Unified District,"5,974",721,161
AZ,04,04860,McNary Elementary District,515,162,59
AZ,04,04920,McNeal Elementary District,441,85,11
AZ,04,04970,Mesa Unified District,"503,824","81,485","12,683"
AZ,04,05030,Miami Unified District,"6,815","1,203",293
AZ,04,05070,Mingus Union High School District,"36,005","1,450",215
AZ,04,05100,Mobile Elementary District,73,5,1
AZ,04,05190,Mohave Valley Elementary District,"24,222","2,100",559
AZ,04,05220,Mohawk Valley Elementary District,"1,027",97,24
AZ,04,05320,Morenci Unified District,"6,737","1,443",113
AZ,04,05340,Morristown Elementary District,"1,753",190,45
AZ,04,05400,Murphy Elementary District,"15,754","1,747",592
AZ,04,05430,Naco Elementary District,"1,224",283,69
AZ,04,05460,Nadaburg Unified School District,"10,162","1,720",261
AZ,04,05530,Nogales Unified District,"21,050","4,351","1,543"
AZ,04,05640,Oracle Elementary District,"16,763",847,117
AZ,04,05670,Osborn Elementary District,"42,850","3,467",825
AZ,04,05730,Owens-Whitney Elementary District,563,67,35
AZ,04,05820,Page Unified District,"12,625","2,720",687
AZ,04,05850,Palo Verde Elementary District,"3,117",469,68
